Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
Yardworks Dry Seal Zinc Adjustable Rear-Trigger Garden Water Hose Pistol Nozzle,24.99,19.99,20.0,outdoor-tools,059-7583-2,3.8,https://www.canadiantire.ca/en/pdp/yardworks-dry-seal-zinc-adjustable-rear-trigger-garden-water-hose-pistol-nozzle-0597583p.html#srp
"Bluehive 10,000 mAh Wooden Power Bank",49.99,24.99,50.0,car-care-accessories,035-5540-2,2.5,https://www.canadiantire.ca/en/pdp/bluehive-10-000-mah-wooden-power-bank-0355540p.html#srp
"Connelly Raptor 2 Air-Pump Inflatable Water Boating 2-Rider Towable Tube, Blue/Orange",299.99,249.99,17.0,seasonal-recreation,079-7174-8,3.8,https://www.canadiantire.ca/en/pdp/connelly-raptor-2-air-pump-inflatable-water-boating-2-rider-towable-tube-blue-orange-0797174p.html#srp
"Cobra AXCT645 Two-Way Radio, 2-pk",134.99,99.99,26.0,electronics,069-8051-8,4.7,https://www.canadiantire.ca/en/pdp/cobra-axct645-two-way-radio-2-pk-0698051p.html#srp
"T-fal Element Filter Coffee Maker, 1.8-L, 12 Cups, Stainless Steel",99.99,69.99,30.0,kitchen,043-8215-0,3.4,https://www.canadiantire.ca/en/pdp/t-fal-element-filter-coffee-maker-1-8-l-12-cups-stainless-steel-0438215p.html#srp
"Stoner Invisible Glass Premium Car Glass Cleaner Spray, 643-mL",10.99,9.89,10.0,car-care-accessories,039-0808-0,4.5,https://www.canadiantire.ca/en/pdp/stoner-invisible-glass-premium-car-glass-cleaner-spray-643-ml-0390808p.html#srp
"RSSW Mayfair Alloy Wheel/Rim, Gloss Black",186.99,149.59,20.0,tires,141-1232X,4.0,https://www.canadiantire.ca/en/pdp/rssw-mayfair-alloy-wheel-rim-gloss-black-1411232p.html#srp
"Mothers Back to Black Car Trim & Plastic Restoration Spray,",16.99,15.29,10.0,car-care-accessories,039-0768-4,4.2,https://www.canadiantire.ca/en/pdp/mothers-back-to-black-car-trim-plastic-restoration-spray-0390768p.html#srp
"Milk-Bone Soft & Chewy Beef Steak Dog Treats, 708-g",11.49,10.34,10.0,pet-care,142-0159-6,4.5,https://www.canadiantire.ca/en/pdp/milk-bone-soft-chewy-beef-steak-dog-treats-708-g-1420159p.html#srp
"RSSW Jazz Alloy Wheel/Rim, Black w/ Machined Face",154.99,123.99,20.0,tires,141-1376X,5.0,https://www.canadiantire.ca/en/pdp/rssw-jazz-alloy-wheel-rim-black-w-machined-face-1411376p.html#srp
"Premier Interior Kitchen & Bathroom Paint, Superior Coverage, Satin, Gallon",44.99,39.99,11.0,paint,048-7932-8,3.6,https://www.canadiantire.ca/en/pdp/premier-interior-kitchen-bathroom-paint-superior-coverage-satin-gallon-0487932p.html#srp
"sWheat Scoop Wheat-Based Natural Multi-Cat Clumping Cat Litter, 11.3-kg",34.99,31.49,10.0,pet-care,142-6520-8,3.6,https://www.canadiantire.ca/en/pdp/swheat-scoop-wheat-based-natural-multi-cat-clumping-cat-litter-11-3-kg-1426520p.html#srp
"Danze Sheridan Double Handle 4-in Centerset Bathroom Sink Faucet with Pop-Up Drain, Chrome",69.99,41.99,40.0,plumbing,063-3952-6,4.2,https://www.canadiantire.ca/en/pdp/danze-sheridan-double-handle-4-in-centerset-bathroom-sink-faucet-with-pop-up-drain-chrome-0633952p.html#srp
"Adams Polishes GrapheneInfused Car Detailer Spray, 473-mL",25.99,23.39,10.0,car-care-accessories,039-0846-8,4.7,https://www.canadiantire.ca/en/pdp/adam-s-polishes-grapheneinfused-car-detailer-spray-473-ml-0390846p.html#srp
"STP All Season Water Remover Fuel Additive, 155-mL",9.99,8.99,10.0,auto-maintenance,038-0751-4,4.4,https://www.canadiantire.ca/en/pdp/stp-all-season-water-remover-fuel-additive-155-ml-0380751p.html#srp
"VitaLife Chicken Tenders Dog Treats, 750-g",26.99,24.29,10.0,pet-care,142-1048-4,4.7,https://www.canadiantire.ca/en/pdp/vitalife-chicken-tenders-dog-treats-750-g-1421048p.html#srp
"NOMA Double Ring Flush Mount Ceiling Light Fixture, Brushed Steel, 14-in",55.99,39.99,29.0,home-decor,052-1424-2,4.6,https://www.canadiantire.ca/en/pdp/noma-double-ring-flush-mount-ceiling-light-fixture-brushed-steel-14-in-0521424p.html#srp
"Woods Expedition Instalite Single Self-Inflating Camping Sleeping Pad/Air Mat w/ Storage Bag, 1-In",99.99,74.99,25.0,camping,076-6053-8,4.1,https://www.canadiantire.ca/en/pdp/woods-expedition-instalite-single-self-inflating-camping-sleeping-pad-air-mat-w-storage-bag-1-in-0766053p.html#srp
