,Product Name,Original Price,Clearance Price,Rating,Product Code,Percentage Off
221,"Sistema Salad to Go Plastic Storage Container, 1.10L",14.49,9.43,4.7,142-3646-8,65.0
222,"Burcam 7507571-1/4-in Bronze Foot Valve, Brown",27.99,17.93,4.6,062-5021-2,64.0
223,"Canadian Tire 100th Anniversary Special Edition Wood Beavertail Canoe Paddle, 60-in",,39.93,4.0,399-8519-2,
224,"Nature's Way Bamboo 5 Quart Hopper Bird Feeder with Suet Cages, 10-in x 12-in",62.99,38.93,3.9,142-0393-6,62.0
225,"FoodSaver® Expandable Heat-Seal Vacuum Sealer Roll, BPA-Free, 11-in x 16-ft, 2-pk",30.99,19.93,4.0,043-2778-6,64.0
226,MotoMaster SMD COB Hanging Worklight,39.99,14.93,3.9,037-0794-4,37.0
227,"Bluehive Mini USB Charger and Sync Cable, 3-ft",6.99,2.93,4.7,035-0369X,42.0
228,Safe Home SHCANWWTDIY1DIY Well Water Test Kit,49.99,32.93,2.5,062-2021-0,66.0
229,"Mastercraft 3-in-1 Plastic Tool Holder / Tool Organizer, 14 x 62 x 5-cm",12.49,7.93,2.8,068-6456-0,63.0
230,"Emerson Sensi Touch Wi-Fi Enabled Smart Thermostat, Black",219.99,144.93,4.2,052-9860-4,66.0
231,"Mizuno Franchise Baseball Batting Gloves, Red/Black",,29.99,3.7,080-1061X,
232,"SIMONIZ Quick-Connect Foaming 1-Step Car Wash & Wax, 946-mL",12.99,,3.1,039-0522-8,
233,"Katadyn MicroPur Drinking Water Tablets, 30-pk",21.99,12.93,5.0,076-0112-4,59.0
234,"Instant Pot® Silicone Pressure Cooker Sling/Bakeware Lifter, Red",9.99,6.93,4.7,043-0789-2,69.0
235,Dash Non-Stick Waffle Bowl Maker,34.99,19.93,3.7,043-0149-6,57.0
236,"Broan AR80C InVent™ Series Single-Speed Exhaust Fan, 80 CFM",79.99,54.93,3.6,052-2727-6,69.0
237,"Saint Gobain Fix-It-Fast All-In-One Small Hole Repair & Applicator For Drywall & Plaster, 89-mL",4.99,3.43,4.6,049-5128-4,69.0
238,"Hartz Ultra Guard Topical Flea and Tick Treatment For Dogs and Puppies, Assorted Sizes, 3-pk",11.99,3.93,3.1,142-1710X,33.0
239,"Goodtimes Foam Cups, 341-mL, 42-pk",5.49,3.43,5.0,053-2211-0,62.0
240,"Delta Faucet Alux Single Handle Bathroom Sink Faucet, WaterSense® Certified, Brushed Nickel",189.99,79.93,4.7,063-9891-4,42.0
241,"NOMA Dimmable LED Bulb & Retrofit Kit, 3000K, 460 Lumens, Warm White, 50W, 4-in",26.99,12.93,4.8,052-0694-4,48.0
242,"NOMA Outdoor Timer, 1 Grounded Outlet, Black",27.99,14.93,3.3,052-8835-2,53.0
243,"Bluehive Type-C Charger & Sync Cable for Apple & Android Devices, 6-in",,5.99,4.0,035-0391X,
244,"Brother TZE131 Black on Clear Laminated Label Tape, 12-mm x 8-m",22.99,12.93,0.0,069-4785-6,56.0
245,"Yardworks Clog-Free Poly Leaf Rake, 27-in",34.99,16.93,4.2,059-7122-0,48.0
246,"Kamenstein Bamboo Lazy Susan, 14-in",16.99,9.93,3.9,142-3112-8,58.0
247,DEWALT Suede Leather Adjustable Nail Pouch w/ 10 Pockets & Belt,39.99,27.93,4.4,057-0157-4,70.0
248,WORX 32V Replacement Lithium-Ion Battery,129.99,29.93,4.3,060-2337-4,23.0
249,Burcam 450446W10-ft Vertical Float Switch,62.99,39.93,3.4,062-4153-4,63.0
250,Xcalibur 3600 Tackle Bag,49.99,37.49,4.7,077-2976X,75.0
251,"Chapin All Purpose Upside Down Spray Bottle, 32-oz",9.99,6.93,3.6,059-1683-0,69.0
252,ProForm Vue Fitness Mirror with Capactive Touch Display - iFit Enabled,1999.99,1199.93,5.0,184-0978-6,60.0
253,"Armor All Disinfectant Spray, 300-mL",7.99,2.43,5.0,039-3657-0,30.0
254,"Mastercraft Magnetic Can Holder w/ Adjustable Strap, 5-in",9.99,5.43,4.8,058-1911-0,54.0
255,Woods Collapsible Adjustable Aluminium Trekking Poles w/ Carry Bag For Hiking & Walking,79.99,49.93,3.5,076-5889-6,62.0
256,MotoMaster Total Terrain W/T Winter Tire For Truck & SUV,,199.99,4.4,003-1568X,
257,"Vermont Castings Maple Butcher Block Cutting Board, 10x15x1.5-in",69.99,34.93,1.8,085-3775-6,50.0
258,Hankook iPike RSV Winter Tire For Passenger & CUV,,107.99,4.5,003-1712X,
259,"Danze Kenzie Single Handle Wall Mount 1-Setting Bathtub & Shower Trim Kit, Chrome",159.99,69.93,3.7,063-9838-4,44.0
260,"Canadian Tire 100-Anniversary Canvas Fabric Reusable Shopping Bag, 32-L",6.99,4.43,4.8,153-1763-4,63.0
261,"Umbra Birdie Foaming Soap Dispenser, Chrome Finish, 325-mL",14.99,8.93,3.5,063-6273-4,60.0
262,"SIMONIZ 2-in-1 Microfibre Chenille & Sponge Wash MittBlue,1-pc",9.99,4.93,4.4,039-0521-0,49.0
263,Wagner Poly Paint Roller Cover for Paint Products 'N Roll Plus & Mate Plus,10.49,4.93,4.7,049-0301X,47.0
264,"AdjustaPole Adjustable Bird Feeder Yard Kit, 5-pc",54.99,31.93,3.3,142-4546-0,58.0
265,"Globe Wired 87-db Doorbell Chime with Molding, Nickel",42.99,19.93,4.3,052-1067-2,46.0
266,"CANVAS Chester Indoor/Outdoor Rug, 2-ft x 5-ft",29.99,17.93,4.6,068-8130-2,60.0
267,"LePage Polyfilla Big Hole Repair Spackling, Hole & Crack Filler, Indoor/Outdoor Use, Assorted Sizes",,9.99,4.6,049-5060X,
268,"Petco Paw Protect Dog Boots/Shoes For All-Weather, Assorted Sizes, Black",39.99,19.93,2.6,142-9459X,50.0
269,"Spalding® Backboard Mounting Bracket, Fixed Height",59.99,8.93,2.8,084-1058-8,15.0
270,"Airhead Sea Monster 3-Part Air-pump Inflatible Water Boating 4-Riders Towable Tube, Blue",599.99,179.93,2.5,079-7178-0,30.0
271,"Emerson Sensi Touch Wi-Fi Enabled Smart Thermostat, White",219.99,144.93,5.0,052-9881-4,66.0
272,"Swann Add-On PIR Alert Sensor Motion Detector, White",24.99,16.93,4.0,046-0374-2,68.0
273,"3M Sandpaper, 4-in x 9-in",,5.99,4.9,047-5726X,
274,"Brother TZE221 Black on White Laminated Label Tape, 9-mm x 8-m",21.99,12.93,0.0,069-4788-0,59.0
275,"MAXIMUM Type 28 Carbide Grinding Wheel/Disc for Masonry, Cement, Cinder",,6.29,4.0,054-1846X,
276,Honeywell Home RCHT9610WF T9 Smart Thermostat with Smart Sensor,259.99,124.93,3.6,052-9664-2,48.0
277,"CAMCO Plastic RV Blow Out Plug, White",8.99,3.93,4.5,040-8245-4,44.0
278,Blue Buffalo BLUE Bits Chicken Dog Treats,,6.99,4.7,142-6283X,
279,"For Living Machine Wash Polyester Non-Slip Back Bath Rug, Assorted Colours, 20 x 30-in",,29.99,3.8,063-6260X,
280,"HeathZenith Wired/Wireless 85-db 250-ft 10-Tunes Doorbell Chime Kit, Brushed Nickel",49.99,24.93,4.0,052-9552-8,50.0
281,"CCM Compression Upper Body Long Sleeve Hockey Top, Senior, Assorted Sizes",64.99,19.93,4.0,083-7142X,31.0
282,"Berkley Lightning Casting Fishing Rods, Medium, 6.6-ft, 2-pc",69.99,42.93,4.4,077-8213-4,61.0
283,"Solignum Low-Lustre Dry Look Concrete & Masonry Sealer, Low VOC, Clear Low Gloss, 3.78-L",55.99,34.93,0.0,049-1086-6,62.0
284,CURT BetterWeigh™ Mobile Towing Scale,139.99,79.93,2.7,040-6981-2,57.0
285,"Toronto Blue Jays Neoprene Beer Bottle Cooler/Cozy/Insulator Sleeve For MLB Baseball Fans/Collectors, Blue",9.99,4.93,0.0,084-5288-6,49.0
286,"For Living Apothecary Ceramic Soap Dispenser, White, 340-ml",12.99,6.93,4.4,063-2257-8,53.0
287,"Febreze Tropical Beach Vent Clip, 2-pk",6.79,3.43,4.6,037-4883-8,51.0
288,Burcam 750775S 20 to 40 PSI Jet Pump Pressure Switch,39.99,25.93,4.3,062-4104-2,65.0
289,"SodaStream Bottle Caps, Black, 2-pk",4.79,2.93,4.8,043-9594-0,61.0
290,"Globe Electric Ultra-Slim Round LED Recessed Lighting Kit, 3-in, Assorted Colours",,19.99,4.5,052-9522X,
291,Wagner Smart Edge Paint Roller,35.99,21.93,3.5,049-0390-6,61.0
292,"Umbra Penguin Soap Dispenser, Nickel Finish, 355-mL",14.99,8.93,4.3,063-6272-6,60.0
293,Summer Waves Fun Wheel Ride-On Lake Inflatable Float/Lounger,149.99,57.93,1.7,079-1413-6,39.0
294,Berkley Fireline Original Fishing Line,22.99,10.93,4.5,078-3884X,48.0
295,"Hoover Hard Surfaces All Purpose Cleaner, Lemon Scent, 946-mL",14.99,9.93,5.0,153-1534-0,66.0
296,"Surlok Pro One Hand PEX Pinch Clamp Tool with LED Light, Fits All Sizes",99.99,64.93,3.7,063-2529-2,65.0
297,"The Home Edit by iDESIGN Stackable Medium Organizing Storage Bin, 0.52L, Orange",8.99,5.93,0.0,142-9212-4,66.0
298,"For Living Ceramic Soap Dispenser, White, 290-ml",10.99,5.93,3.0,063-2287-6,54.0
299,"Seal-It Multi-Purpose Gift Wrapping Tape In Dispenser, Clear Transparent, 19-mm x 7.6-m",2.29,1.43,2.3,067-1085-4,62.0
300,"Petco Padded Reflective Dog Collar, Adjustable, Assorted Sizes, Orange",20.99,7.93,4.6,142-6104X,38.0
301,Coleman Cookout™ 2-in-1 Stainless Steel BBQ Grill Spatula & Tong with a Hook,15.99,7.93,4.5,085-2305-2,50.0
302,"Rez Revitalize Crack Filler For Deep Nail Holes & Cracks, Fast Drying, Low-VOC, 946-mL",19.99,12.93,3.7,048-1199-0,65.0
303,"Type A Linear Square Metal Napkin Holder For Kitchen Countertop/Dining Table, White",9.99,6.43,4.0,142-5516-6,64.0
304,"Supercycle Truck Lightweight Infant Bike Helmet with Adjustable Straps, Blue, Ages 0-1",29.99,17.43,4.7,073-5146-0,58.0
305,Rust-Oleum Universal CorrodeBlok Mitre Saw Cover with UV Protection and Waterproof,59.99,34.93,4.3,055-6776-8,58.0
306,"For Living Apothecary Ceramic Toothbrush Holder, White",10.99,5.93,5.0,063-2260-8,54.0
307,"Whink Professional Stength Septic Tank Treatment Packets, 3 Monthly Packets, 128-mL",9.99,6.93,5.0,153-0886-8,69.0
308,"CANVAS Loft Coronation Steel Curtain Rod with Classic Flattened Urn Shape, Finials, Nickel, Assorted Sizes, 1-in Diameter",59.99,34.93,4.7,046-7339X,58.0
309,"Saint-Gobain FibaTape Wall Repair Kit with Fiberglass Mesh Tape, Patch, Compound & Tools, 5-pc",16.99,10.93,4.7,049-5129-2,64.0
310,"Pfister Vorena Single Handle Bathtub & Shower Trim Kit with Rain Shower Head, Polished Chrome",299.99,119.93,2.4,063-9805-2,40.0
311,"Ripline Outdoor Zipline, 5.25-ft, Easy Set Up, with Rubberized Stoppers, Kids Ages 8+",29.99,14.93,0.0,084-7282-6,50.0
312,"Cadbury Chocolate Creme Egg, 34-g",1.79,0.89,4.8,051-4185-4,50.0
313,"Sengled E1E-G7FWCA Dimmable Smart Light Switch, White",24.99,12.43,4.0,152-2550-6,50.0
314,"Mastercraft 1/8-in Line-Up Punch, Steel",10.99,6.43,4.0,058-1625-2,59.0
315,"Ivory Snow Stage 1: New Born Liquid Laundry Detergent, Unscented, 32-Load, 1.36-L",14.99,9.93,3.2,153-0595-0,66.0
316,3M Scotchgard Marine Liquid Wax,29.99,11.93,4.3,079-0123-2,40.0
317,"Plug & Glow HyperBright Multi-Color Extension, 24-in",31.99,12.93,0.0,037-8078-2,40.0
318,Handle It Seed Bag Clip,14.99,8.93,4.0,142-6595-0,60.0
319,"Narly Noggins Floating Trainer Reversible Sequined Unicorn Kids' Swim Vest, White",24.99,12.43,3.5,081-3866-8,50.0
320,"3M™ Filtrete™ Whole House Air Freshener, Assorted Scents",11.99,4.93,2.3,064-3186X,41.0
321,Bluehive Rubberized Vent Phone Mount for Most Smartphones and Other Portable Devices,19.99,7.93,2.9,035-7189-8,40.0
322,"Mastercraft 3/8-in Centre Punch, Steel",10.99,6.43,5.0,058-1635-8,59.0
323,"Umbra Corsa Ceramic Toothbrush Holder, White",8.99,4.93,4.6,063-6265-4,55.0
324,"Bi-Folding Steel Loading Ramp, Adjustable & Stable Base, 84 x 12-in",,149.93,4.8,399-3459-4,
325,"Skylink Universal Wireless Garage Door Opener Kit, Wi-Fi Hub",99.99,49.93,3.0,046-0579-6,50.0
326,"Burcam 7507561-in Bronze Foot Valve, Brown",26.99,17.93,4.5,062-5017-4,66.0
327,"3M Sanding Disc, 6-in",,5.99,5.0,047-5763X,
328,Plano 3600 Series Waterproof StowAway Tackle Box,19.99,13.93,4.5,078-2584-4,70.0
329,Burcam 750776S 20 to 40 PSI Female Pressure Switch,44.99,29.93,4.0,062-4113-0,67.0
330,"Tasco Pronghorn Rifle ScoPe, Black, 3-9x40mm",109.99,64.93,3.9,075-5500-2,59.0
331,"Orion Biodegradable Round Planter Pot, Assorted Sizes, Cream",49.99,34.93,4.7,159-1121X,70.0
332,"E3 RePlacement SPark Plug, E3 18 for Briggs & Stratton OHV lawn mower, tractor engines",15.99,9.93,5.0,060-7065-0,62.0
333,"ZURU Bubble Wow Kids' Wave & Play Glove-A-Bubbles Blower/Maker Solution, Age 3+, Assorted",5.29,2.93,2.0,050-9132-2,55.0
334,Atlas 3-Bolt Lawn Mower Blade Adapter Kit,24.99,2.93,0.0,060-7032-8,12.0
335,"Armor Coat Multi-Purpose Super Glue, Indoor/Outdoor, Water-Resistant, Dries Clear, 2-mL",3.99,2.43,3.3,067-0342-8,61.0
336,"Supercycle Cat Lightweight Infant Bike Helmet with Adjustable Straps, Violet, Ages 0-1",29.99,17.43,3.3,073-5147-8,58.0
337,"WholeHearted Small Breed Grain Free Salmon & Pea All Life Stages Dry Dog Food, 2.3-kg",19.99,12.93,4.7,142-5616-8,65.0
338,"Sylvania Dual Portable DVD Player with 10-in Display, USB Card Slot to Play Digital Movies",249.99,119.93,2.4,035-2504-8,48.0
339,Permatex® Spider Patch™ Plastic Tank Repair Kit,21.99,3.43,3.0,038-3706-6,16.0
340,"NOMA 5-Outlet Power Squid / Hub with Surge Protector, 3-ft Cord, 1200 Joules, Black",43.99,24.93,4.2,052-7276-8,57.0
341,"Broan AR70LC InVent™ Series Single-Speed Exhaust Fan with Incandescent Light, 70 CFM",103.99,69.93,3.2,052-2726-8,67.0
342,Life Gear Collapsible Lantern,,16.93,4.9,399-9217-4,
343,Burcam 150159 20 to 40 PSI Female Cut-Off/Low-Pressure,49.99,31.93,3.1,062-4114-8,64.0
344,"BFG Factory Fit Floor Mats, 2-pc",74.99,14.93,4.3,031-2691X,20.0
345,Sondpex Dual Marine Speaker,,69.93,2.6,299-9887-6,
346,"Umbra Loft Ball Café Adjustable Steel Curtain Rod, Bronze, 1/2-in diameter",21.99,12.93,4.3,046-7360-2,59.0
347,"For Living Brushed Metal Waste Can/Trash Can, 5.2-L",21.99,12.93,5.0,063-2396-6,59.0
348,Bosch GDX18V-1600B 18V Freak 2-in-1 Bit/Socket Cordless Impact Driver Kit with Battery & Charger,199.99,134.93,2.7,054-2444-4,67.0
349,"Footjoy WeatherSof Men's Golf Glove, Assorted Sizes, Left-Hand, White",15.99,6.93,4.6,086-0103X,43.0
350,Eagle :12 Callaway Recycled Golf Balls,29.99,14.93,3.8,086-1574-4,50.0
351,Petco Tennis Ball and Triple Knot Dog Toy,8.99,5.93,3.6,142-4724-6,66.0
352,"Danze Cavell Single Handle Pull Down Kitchen Faucet, Brushed Nickel",199.99,71.93,4.5,063-9918-4,36.0
353,"Hot Wheels Vent Clip Air Freshener, Treasure Hunt",5.99,2.43,4.7,037-6676-0,41.0
354,"Nellie's Spray Hand Sanitizer, Alcohol-Free, Eucalyptus Scent, 355-mL",13.99,2.43,3.5,153-1314-4,17.0
355,Refresh your car! Gel Car Air Freshener,3.99,2.43,4.4,037-0588X,61.0
356,"Kimberly-Clark Cleaning Rags on a Roll, 55 Sheets",5.29,3.43,5.0,049-4833-0,65.0
357,"Umbra Corsa Ceramic Soap Dish, White",9.99,5.93,4.7,063-6264-6,59.0
358,"Mastercraft Magnetic Pegboard Clips, 2-pc",9.99,6.43,4.3,058-1909-8,64.0
359,"Home Collection Shelf, White",10.99,6.43,4.5,068-0621X,59.0
360,"Nora Indoor Ceramic Round Handmade Planter, Assorted Sizes, Taupe",39.99,27.93,3.6,159-0771X,70.0
361,MAXIMUM Fabric Single Tool Pouch/Utility Pouch w/ 9 Pockets,31.99,17.93,4.0,058-6532-2,56.0
362,"Moto Master Full Synthetic DEXRON-VI Automatic Transmission Fluid/ATF, 946-mL",10.99,6.93,4.8,028-1591-2,63.0
363,"Globe Electric Ultra-Slim Round LED Recessed Lighting Kit, Assorted Trim Size, Assorted Colours",,19.99,4.8,052-9524X,
364,Alpena 69170 8-Pocket Bedside RV Storage Organizer,34.99,14.93,0.0,040-9740-8,43.0
365,3M Command Multi-Purpose Bathroom Hook,9.99,6.93,4.8,063-4378-8,69.0
366,"WypAll Waterless Car Cleaning Wipes, 50pc",14.99,6.93,5.0,039-0588-2,46.0
367,"Vermont Castings Outdoor BBQ Cotton Replacement Sauce Mop Head, Basting Brush Mop",5.29,1.93,0.0,085-2185-6,36.0
368,Coleman Universal Water-Resistant BBQ Grill Light with Pivoting Head,31.99,14.93,3.8,085-2314-0,47.0
369,"PlumbShop Moen Tub & Shower Trim Kit, Chrome",55.99,27.93,5.0,063-4752-6,50.0
370,"Febreze Air, 250-g",4.49,2.93,4.3,053-0599X,65.0
371,"Leopard Waterproof Spare Tire Cover, Black, 28-30-in",17.99,7.93,0.0,040-9274-8,44.0
372,"Permatex® Flow-Mix Self-Mixing 5 Minute Epoxy, 14-mL",9.99,5.93,3.5,038-2530-8,59.0
373,"The Home Edit by iDESIGN Stackable Medium Organizing Storage Bin, 0.52L, Green",8.99,5.93,5.0,142-9214-0,66.0
374,"VIC CX2 Pro Youth Hockey Shoulder Pads, with Anti-Microbial Lining, White",29.99,9.93,4.5,083-8850X,33.0
375,"Little Trees Hanging Air Freshener, Bourbon, 3-pk",3.99,2.43,3.8,037-2863-8,61.0
376,"HeathZenith Wireless Battery 85-db 200-ft 6-Tune Doorbell Chime Kit, 1 Push Button, Hammered White",49.99,24.93,5.0,052-9556-0,50.0
377,PopSockets PopGrip Collapsible Universal Cell Phone Stand with Swappable Top,,14.99,4.0,035-5438X,
378,"Burcam 750761 Brass Check Valve, Brown, 1-in",26.99,17.93,5.0,062-3544-0,66.0
379,"Premier Extra Wood Deck Stain Stripper, Biodegradable, 3.78-L/1-Gallon",35.99,22.93,1.9,048-8946-0,64.0
380,"Flambeau Storm Front Hunting Goose Shell Decoys, 24-in, 4-pk",79.99,54.93,3.8,075-0799-2,69.0
381,Netgear Wireless AC1200 Dual Band WiFi Router,74.99,39.93,4.8,069-4093-2,53.0
382,Nature's Way Squirrel Proof Bird Feeder,54.99,34.93,3.4,142-0356-6,64.0
383,"Stearns Manual Inflatable PFD/Life Jacket Rearming Kit, 24-g",29.99,14.93,2.3,079-2006-0,50.0
384,"Tie Down Anchors, 2-pk",,14.99,4.3,041-0031X,
385,Mustad Bronze Minnow Rig,4.99,1.93,5.0,078-3196X,39.0
386,"Recochem Solvable Professional Grade Paint & Lacquer Thinner, Acetone & Methyl Hydrate, 4-pk",38.99,24.93,0.0,049-2593-2,64.0
387,Bluehive 15W Wireless Charging Stand,29.99,12.93,3.7,035-6233-8,43.0
388,"Outbound Men's Cole Packable Quilted Puffer Vest Thermal Insulated Windproof Nylon, Grey",59.99,23.93,4.5,187-2332X,40.0
389,"Danze Lakeville Double Handle Widespread 8-in Center Bathtub & Shower Faucet with Pop-Up Drain, Brushed Nickel",169.99,59.93,4.4,063-9844-8,35.0
390,"AutoTrends Comfort Fit Purple Butterfly Seat Cover Set, Black, 5-pc",59.99,39.93,3.8,032-6762-4,67.0
391,"Mobil Delvac™ Extreme FE 10W30 Synthetic Diesel Engine/Motor Oil, 3.87-mL",43.99,29.93,5.0,028-9485-8,68.0
392,Reflex Gold/All Season Wiper Blade,,19.99,2.9,021-1400X,
393,Bluehive 4-in-1 FM Transmitter & Hands-Free Holder for Vehicles,59.99,7.93,2.8,037-5365-6,13.0
394,"3M Command Rust-Resistant Hair Dryer Holder, Satin Nickel",22.99,14.93,4.7,063-4379-6,65.0
395,"Simoniz Vent Clip Car Air Freshener, Cool Ice, 3-pk",8.99,3.93,3.7,037-2437-4,44.0
396,Berkley FireLine Fused Crystal Fishing Line,22.99,10.93,4.6,078-3634X,48.0
397,PinWiz Trailer Hitch Clip,,2.93,4.8,399-2254-6,
398,"Wilton Decorator Plastic Buttercream Set, 48-pk",124.99,74.93,4.6,142-4336-0,60.0
399,"Nature's Way Better Gardens Bee House, Assorted Colours",13.99,9.93,4.1,142-9168-0,71.0
400,"Agglo Kids'Jumbo Sidewalk Chalk, 5-pk, Age 3+",6.99,4.93,3.5,050-8692-4,71.0
401,"Bow Copper Tee, 1/2-in, 25-pk",41.99,9.93,5.0,063-1204-0,24.0
402,"Febreze Ocean Breeze Vent Clip, 2-pk",6.79,3.43,4.7,037-4879-0,51.0
403,"Hillman #8 Phillips Wafer Head Steel Cement Board Screws, Grey, Assorted Sizes & Pack Sizes",8.29,2.93,4.7,161-0364X,35.0
404,"CANVAS Kole Ceiling Pendant Light Fixture, Gold & Pewter Plated",89.99,24.93,3.3,052-1418-8,28.0
405,Plano Large Pocket Tackle Box,23.99,16.93,4.4,078-2585-2,71.0
406,Nature's Way Bluebird Buffet Bird Feeder,19.99,11.43,2.0,142-6597-6,57.0
407,"Browning Air Fresheners, 3-pk",4.79,2.93,3.9,037-0365X,61.0
408,"For Living Ceramic Soap Dish, White",7.99,4.73,5.0,063-2288-4,59.0
409,"Alpena 8 Pocket RV Door Organizer, Clear",24.99,9.93,5.0,040-9742-4,40.0
410,Bell and Howell TacVisor Day & Night Car Visor,,17.93,3.7,399-3874-4,
411,"Bow ABS Drainage Pipe, 3-in x 10-ft",49.99,32.93,5.0,063-2307-0,66.0
412,"Nadair Plug-in Under-Cabinet Light Power Cord, 6-ft",14.99,1.43,4.5,052-9412-2,10.0
413,"PlumbShop Universal Fit Handheld Kitchen Sink Spray Hose, 4-ft",13.19,6.43,0.0,063-2851-2,49.0
414,STP Ultra 5-in-1 Car Care Kit,,14.93,4.5,399-9531-4,
415,"CANVAS Palm Breeze Outdoor Dinner Plates, 1-pc",5.99,2.93,5.0,059-7343-4,49.0
416,"3M Scotch Flex & Seal Shipping Roll, All-In-One Bubble Wrap Mailer Packaging, 15-in x 10-ft",15.49,9.93,4.8,067-6068-6,64.0
417,Bluehive 10W 3-Port USB Wireless Charging Alarm Clock Station with 5000-mAh Power Bank,99.99,34.93,1.0,035-8061-4,35.0
418,Bluehive Smartphone Ring Stand,3.99,0.93,3.3,035-6155-4,23.0
419,"Hillman #8 Phillips Wafer Head Steel Self-Drilling Cement Board Screws, Grey, Assorted Sizes & Pack Sizes",8.29,2.43,1.0,161-0479X,29.0
420,"Alpena Quadfire 12-24V, 16W Auxiliary LED Pod Light, Waterproof & Shock Resistant",52.99,19.93,3.5,020-3789-8,38.0
421,"Simoniz Fibre Can Car Air Freshener, Moonlight Lavender, 2-pk",8.99,2.93,3.8,037-2441-2,33.0
422,"Bennett Round Plastic Paint Spout for Metal Gallon Cans, 3.7L",5.29,3.43,3.2,049-1014-8,65.0
423,"Stokes Select Acorn Screen Bird Feeder with 4 Feeding Ports, 2.6-lb, Patina Green",43.99,29.93,4.5,142-5315-4,68.0
424,"CANVAS Artificial Succulent in Terra Cotta Pot, Assorted Variants, 3-3/4-in",4.99,2.93,3.4,059-1323-8,59.0
425,"More Birds X-1 Squirrel Proof Bird Feeder with 4 Feeding Ports, 4-lb",43.99,29.93,3.8,142-0372-6,68.0
426,"Mastercraft C Type Tube Cutter, 3/4-in",13.99,6.93,4.0,063-8774-0,50.0
427,MotoMaster Total Terrain A/T2 Tire For Truck & SUV,,181.99,4.3,005-2280X,
428,"Gonzo Natural Magic Garbage Can Odour Eliminator, Lemon Scent, 4-pk, 5-g",4.99,1.43,2.8,153-0930-2,29.0
429,Burcam 350445115V Sump Pump Switch,24.99,15.93,4.5,062-4111-4,64.0
430,Petco Durable Rubber 3-Ring Tug Chew Dog Toy,19.99,12.93,4.5,142-6522-4,65.0
431,"Nature's Way Funnel Flip Top Mesh Finch Bird Feeder, 1.5-qt",30.99,17.93,3.7,142-9173-6,58.0
432,"Thermos® Guardian Stainless Steel Food Jar Vaccum Insulated, Blue, 530-mL",44.99,29.93,3.0,142-9286-8,67.0
433,"Sonax 143 DA Polish Cutting Pad, Red",26.99,9.93,3.0,039-0832-0,37.0
434,"Aero Smooth Milk Chocolate Candy Easter Lamb, 25-g",1.29,0.49,4.7,151-5226-4,38.0
435,"Rust-Oleum® Specialty Interior Multi-Surface Aerosol Spray Paint, Glitter, 290-g",,19.99,2.8,048-2520X,
436,"Sonax 143 DA Polish Finishing Pad, Yellow",26.99,9.93,5.0,039-0831-2,37.0
437,"Philips SensoTouch 2D: RQ11 Blade Replacement Head For Electric Razor/Rotary Shaver, 1-pk",59.99,34.93,4.5,043-8936-4,58.0
438,"Bradley Smoker 5-in-1 Carving Tools Set - Includes Thermometer, Knives, Fork & Sharpener",79.99,39.93,4.7,085-2346-4,50.0
439,Heatech Velour Heated Memory Foam Seat Cushion,59.99,29.93,4.5,032-6782-6,50.0
440,"Sengled PAR38 E26 Base Motion Sensor Smart LED Light Bulb, Bright White",39.99,19.93,5.0,152-2549-2,50.0
441,"High & Mighty Small Metal Rectangle Hook, 15-lb Capacity, Assorted Colours",14.99,6.93,4.8,061-1855X,46.0
442,"Bennett Plastic Roller Cleaner, with Non-Slip Grip",3.29,1.93,5.0,049-2693-4,59.0
443,"type A Plastic Garbage and Trash Bag Holder/Organizer/Dispenser, Fits 30 Bags, Silver",17.99,4.93,3.8,142-9259-4,27.0
444,"Alpena LED Light, 8-ft",59.99,6.93,1.0,020-3787X,12.0
445,Berkley Fusion 19 Aberdeen Hooks,5.29,2.43,5.0,077-7730X,46.0
446,"PlumbShop Handshower Wall Bracket, Universal Fit, White",8.99,4.43,4.0,063-2938-8,49.0
447,CCM FitLite 3DS Hockey Helmet Sticker/Decal Kit,9.99,1.93,0.0,083-8800-0,19.0
448,Bluehive Gooseneck 12V Phone Mount,29.99,12.93,3.6,035-7296-2,43.0
449,"Febreze Car Air Freshener Vent Clips, New Car Scent, 2-pk",6.79,3.93,4.2,037-0308-4,58.0
450,KidKusion Gummi Crib Rail Cover,21.99,7.93,1.5,046-8997-2,36.0
451,CANVAS Rubberized Ceramic Bathroom/Vanity Tray,13.99,7.93,3.3,063-6232-2,57.0
452,"PlumbShop Raised Stainless Steel & Rubber Drain/Kitchen Sink Strainer, 4.5-in",11.99,5.93,0.0,063-2867-6,49.0
453,"PrideSports Canadian Flag Golf Divot Repair Tool, Include Ball Marker",8.49,3.93,4.0,086-0390-6,46.0
454,Netgear Wireless AC1750 Dual Band Smart Wi-Fi Router,129.99,49.93,4.7,069-4089-4,38.0
455,Burcam 740850 1/4-in Pressure Switch Hose,11.99,7.93,4.5,062-4122-8,66.0
456,"Perky Pet Squirrel Stumper Wild Bird Feeder, 3-lb",24.99,14.93,3.2,142-0762-8,60.0
457,"Zebco Rhino Spincast Fishing Reel, Anti-Reverse, Reversible",54.99,29.93,1.9,077-8433-0,54.0
458,"Permatex® Form-A-Gasket® Sealant, 80-mL",8.99,3.43,3.8,038-2506-8,38.0
459,"Bluehive Type-C Charger & Sync Cable, Metal, Gold, 3-ft",,,4.4,035-0381X,
