,Product Name,Original Price,Clearance Price,Rating,Product Code,Percentage Off
51,"Rust-Oleum® Universal All Surface Aerosol Spray Paint & Primer, Metallic, 312-g",,22.99,4.1,048-2321X,
52,K&N High-Flow Replacement Air Filter,16.49,13.19,4.7,027-5574X,80.0
53,Airhead Super Pump 120V HIgh Volume High Pressure Inflator/Deflator,79.99,47.93,4.2,079-7147-4,60.0
54,"Mastercraft Middle/Intermediate Tool Chest w/ 2 Drawers, Black, 26-in",199.99,84.93,3.6,058-1565-4,42.0
55,"Core Home Reusable Nylon Shopping Food Storage Bags Holds Up to 35lbs, 3-pk",19.99,6.93,4.5,142-9242-2,35.0
56,"Outbound Men's Repton Mid-Cut Durable Lightweight Hiking Boots, Brown",99.99,44.93,4.2,187-3202X,45.0
57,"Philips Sonicare Essential Clean Rechargeable Electric Toothbrush with Travel Case, Black",89.99,39.93,4.5,043-8686-8,44.0
58,LG CordZero™ A9 Cordless Stick Vacuum,699.99,499.93,4.6,043-9488-4,71.0
59,"Sugru Mouldable Glue, 5-g, 3-pk",16.49,9.93,3.9,067-1073X,60.0
60,"National Concord Indoor/Outdoor Mat with Bonus Platinum Mat, Black, 2-pk",,16.99,4.4,399-4171-0,
61,MotoMaster Total Terrain APX All Season Tire For Truck & SUV,,190.99,4.3,006-3500X,
62,"Woods Outdoor Digital Timer, 8 Program settings, 2 Grounded Outlets, Black",30.99,17.93,3.5,052-9209-8,58.0
63,"Alcan Ultimate BBQ Buddy® Non-Stick Aluminum Grilling Trays, 9-in x 13-in, 10-pk",11.99,6.93,4.8,153-1226-4,58.0
64,"Anova Culinary Bluetooth Connected Sous Vide Precision Cooker Nano/Food Dehydrator, Black",199.99,119.93,4.2,043-2695-2,60.0
65,"For Living Loft Knob Café Adjustable Steel Curtain Rod, Nickel, Assorted Sizes, 1/2-in diameter",21.99,12.93,4.6,046-7362X,59.0
66,"NOMA Ollie Reversible 4-Blade 3-Speed Ceiling Fan with Lighting, 30-in, Multi-Coloured",149.99,,3.6,052-9255-6,
67,"Canada Day 60-in Bamboo Tiki Mosquito/Insect Repellent Torch, Red",,6.43,4.0,299-1924-6,
68,"Outbound Kids' Cove Closed Toe Hiking Shoes/Sandals with Durable Outsole, Grey/Pink",39.99,14.93,3.6,187-2773X,37.0
69,Mastercraft Backup Pump Battery,199.99,129.93,2.3,062-3503-8,65.0
70,Body Glove Infant Nylon PFD/Life Jacket,59.99,29.93,3.1,079-2022-0,50.0
71,Thinkware Q800PRO Dash Cam with GPS & Wi-Fi,399.99,239.93,4.4,035-0706-0,60.0
72,"Conros Seal-It Invisible Tape with Dispenser For Gift Wrapping/Office/Home, 19-mm x 25.4-m, 6-pk",10.49,6.93,4.8,067-1084-6,66.0
73,"Outbound Kids' Waterproof Flower Rubber Rain Boots,Blue/White/Pink, Sizes 11-3",28.99,13.93,4.5,187-2258X,48.0
74,"Altra Canmore Men's CSA Canadian-Made Waterproof Steel Toe Rubber Work Boots, Black",79.99,49.93,3.5,187-2525X,62.0
75,"Canvas Langford Double Door Single Sink Marble Top Bathroom Vanity, Navy, 24-in",499.99,219.93,3.0,063-6420-4,44.0
76,"Fanatic Brighton Reversible 5-Blade 3-Speed Ceiling Fan with LED Lighting, 52-in, Maple/Walnut",249.99,99.93,3.0,052-9258-0,40.0
77,MotoMaster 800 Lumen SMD Flood Light,47.99,19.93,4.4,037-9918-8,42.0
78,"Nutri Ninja® Tritan™ Cups w/ Sip & Seal® Lids For Blenders, BPA-Free, 24mL, 2-pk",29.99,19.93,3.6,043-8242-4,66.0
79,Bluehive UV Phone Sanitizer,59.99,14.93,3.7,035-5423-2,25.0
80,"Instant Pot® Large Mesh Steamer Basket, Stainless Steel, 6-8qt",19.99,12.93,4.8,043-8235-2,65.0
81,"Philips Sonicare Essential Clean Rechargeable Electric Toothbrush with Travel Case, White",89.99,39.93,4.5,043-8685-0,44.0
82,"Women's Waterproof Polka Dot Rubber Rain Boots, Durable Outsole, Black with White Dots",46.99,22.93,4.5,187-0141X,49.0
83,"Scotts Weed B Gon MAX Ready-to-Use Weed Control/Killer Refill, Herbicide for Lawns, 5-L",35.99,22.43,3.3,159-0310-6,62.0
84,ProForm Studio Pro C22 Indoor Cycling Stationary/Exercise/Spin Bike with Smart HD Touchscreen - iFit Enabled,1999.99,999.93,4.4,184-0976-0,50.0
85,"Philips Sonicare Daily Clean 2100 Rechargeable Electric Toothbrush with SimplyClean Brush Head, White/Mint",39.99,24.93,4.5,043-9140-0,62.0
86,"Outbound Women's Cambridge Mid-Cut Waterproof Rubber Rain Boots, Black, Sizes 6-8",36.99,17.93,3.6,187-1635X,48.0
87,"Tremclad Water-Based Rust Paint, 3.78-L",124.99,69.93,2.4,048-9249X,56.0
88,"DEWALT DCF887B 20V MAX XR Brushless Cordless 3-Speed Impact Driver, Tool Only, 1/4-in",209.99,119.93,4.6,054-6726-0,57.0
89,"Woods WiOn Outdoor Wifi Yard Stake with 3-Outlets, Wireless Switch, Programmable, Black",69.99,39.93,3.2,052-7299-4,57.0
90,"CANVAS Performance Cotton Absorbent Bath Towel, Assorted Colours, 54 x 30-in",,11.99,4.6,063-8729X,
91,"Yardworks Single Line Auto Feed Replacement Spool, 3-pk, 0.065-in",19.99,4.93,2.5,060-3042-8,25.0
92,Briggs & Stratton 5000/6500 Watt QuietPower™ Series Inverter Portable Generator with CO Guard,1999.99,1499.93,3.0,055-0372-4,75.0
93,Outbound Men's Waterproof Rain Boots with Cushioned Insole,49.99,24.93,2.5,187-3500X,50.0
94,"MAXIMUM Ratcheting Tap & Die Set with Case, SAE, Titanium Coated, Carbon Steel, 18-pc",59.99,24.93,3.8,058-7212-8,42.0
95,"Machine Wash Cotton Absorbent Washcloth, with Hanging Loop, 12 x 12-in5-pk",4.99,2.93,4.6,063-6305-0,59.0
96,Nature's Way All-In-One Oriole Buffet Bird Feeder,19.99,11.43,3.9,142-6599-2,57.0
97,"Rust-Oleum® Painter's Touch 2X Ultra Cover Multi-Purpose Aerosol Spray Paint & Primer, Semi-Gloss, 340-g",,14.99,4.4,048-2319X,
98,"Bouncer Outdoor Inflatable Ball Pit, Detachable Slide Bouncer, 5.4-ft, Kids Ages 1+",129.99,64.93,3.2,184-0768-6,50.0
99,Evenflo Soft & Wide Safety Gate,99.99,49.93,4.3,046-7556-8,50.0
100,Primos Exclusive 20MP AutoPilot Trail/Game Camera No Glo,99.99,64.93,3.4,375-0933-8,65.0
101,"Instant Pot® Tempered Glass Lid For Programmable Pressure Cookers, 6qt",21.99,,4.8,043-5738-4,
102,"Certified 90 Lumens LED Aluminum Handheld Flashlight, Batteries Included, Assorted Colours",4.99,1.73,5.0,065-1744-0,35.0
103,"Comfyland Ultra-Soft Fleece Pet Bed, Washable, Assorted Sizes, Beige",26.99,14.93,4.3,042-6661X,55.0
104,"Summer Waves Rock n Spray Dino Inflatable Water Sprinkler for Kids, With Built-in Sprayer, Green, 3-ft, Age 3+",54.99,34.93,0.0,050-8622-2,64.0
105,Bluehive UV Phone Sanitizer with Wireless Charger,69.99,16.93,2.8,035-5424-0,24.0
106,Honeywell Lyric™ Wifi-Enabled Water Leak & Freeze Detector,77.99,49.93,3.8,062-4012-0,64.0
107,"Certified Full-Leather Palm Men's Work Gloves, Large, Brown",7.99,4.93,4.3,059-2865-2,62.0
108,"Outbound Women's Low-Cut Duck Shoes with Water-Resistant Upper, Durable Outsole, Black/Beige",47.99,22.93,3.7,187-0220X,48.0
109,"MASTER Chef Silicone Tumbler with Lid and Straw, 887-mL",14.99,4.93,3.8,142-9298-0,33.0
110,"SIMONIZ Car Wash Kit with 53-in Extendable Handle, 6-pc",54.99,32.93,3.8,039-8232-0,60.0
111,"Stinger Black UV Light Mosquito/Bug Zapper Replacement Bulb, fits BKC90 Series, 2-pk",19.99,8.93,5.0,059-1241-2,45.0
112,"Whiskas Seafood Selections Wet Cat Food, 1.2-kg, 12-Pk",16.99,8.93,4.7,142-6072-4,53.0
113,"Stella & Finn Inflatable Dog-Paw Pool Float/Lounger, 46-in",39.99,17.93,4.8,081-3888-6,45.0
114,"Heritage The Rock Stainless Steel Frying Pan, PFOA-Free, Non-stick, Dishwasher & Oven Safe",,99.99,4.0,142-2613X,
115,ProForm Carbon EL5 Elliptical Machine/Trainer - iFit Enabled,2799.99,999.93,3.0,184-0965-6,36.0
116,"Rez Revitalize Advanced Wood & Concrete Resurfacer Paint, Medium Tint Base, 3.35-L",55.99,34.93,3.7,048-1196X,62.0
117,"CANVAS Tusca Indoor Ceramic Round Planter, 8.5-cm, Assorted Colours",,4.99,4.5,059-1413X,
118,"Shakespeare Disney's Cars Kids Spincast Fishing Rod and Reel Combo, Lightweight, Right Hand, 2.1-ft",24.99,13.93,2.6,078-3767-4,56.0
119,"Chalkios Kids' Scene Stencils & Jumbo Chalk Art Set, Forest/Trucks/Beach, Age 3+, Assorted",18.99,7.43,4.0,050-9139-8,39.0
120,Mastercraft 1/4-HP Clog-Resistant Electric Utility Pump,139.99,89.93,4.1,062-3405-2,64.0
121,"Melitta Small Basket Coffee Filters, 4-6 Cups, White, 200-pk",3.49,2.43,4.7,042-1764-6,70.0
122,MotoMaster AWII All Season Tire For Passenger & CUV,,108.99,4.1,003-2000X,
123,"Emerson Sensi Wi-Fi Enabled Smart Thermostat, White",129.99,84.93,4.2,052-9858-2,65.0
124,"FoodSaver® Handheld Cordless Vacuum Sealer w/ Zipper Bags, Black",39.99,27.93,4.2,043-9588-6,70.0
