,Product Name,Original Price,Sale Price,Rating,Product Code,Percentage Off
909,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
910,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
911,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
912,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
913,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
914,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
915,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
916,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
917,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
918,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
919,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
920,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
921,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
922,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
923,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
924,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
925,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
926,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
927,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
928,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
929,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
930,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
931,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
932,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
933,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
934,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
935,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
936,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
937,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
938,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
939,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
940,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
941,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
942,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
943,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
944,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
945,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
946,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
947,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
948,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
949,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
950,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
951,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
952,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
953,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
954,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
955,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
956,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
957,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
958,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
959,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
960,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
961,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
962,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
963,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
964,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
965,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
966,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
967,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
968,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
969,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
970,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
971,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
